Condition Name,Condition Link,Condition Info,Symptoms,Common Symptoms,Other Symptoms,Medical History,Physical Exam,Diagnostic Test,Other Test
High Blood Triglycerides,https://www.nhlbi.nih.gov/health/high-blood-triglycerides,Triglycerides are a type of fat found in the blood. High triglycerides can raise your risk of heart disease and stroke.,N/A,N/A,N/A,N/A,N/A,N/A,N/A
How Sleep Works,https://www.nhlbi.nih.gov/health/sleep,"Sleep is a period of rest that alternates with wakefulness, and it affects many of your body’s systems. Not getting enough sleep raises your risk of many serious health problems.",N/A,N/A,N/A,N/A,N/A,N/A,N/A
How the Heart Works,https://www.nhlbi.nih.gov/health/heart,The heart is an organ about the size of a fist that pumps blood through your body. Your blood carries the oxygen and nutrients that your organs need to work properly.,N/A,N/A,N/A,N/A,N/A,N/A,N/A
How the Lungs Work,https://www.nhlbi.nih.gov/health/lungs,"Your lungs are the pair of spongy, pinkish-gray organs in your chest. They help get oxygen into your blood and carbon dioxide, a waste gas, out of your blood.",N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hypersensitivity Pneumonitis,https://www.nhlbi.nih.gov/health/hypersensitivity-pneumonitis,Hypersensitivity pneumonitis is a rare immune system disorder that affects the lungs and makes it hard to breathe.,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Immune Thrombocytopenia (ITP),https://www.nhlbi.nih.gov/health/immune-thrombocytopenia,"Immune thrombocytopenia (ITP) is a platelet disorder that occurs when the number of platelets in your blood is too low. This can prevent your blood from clotting after an injury or surgery, making it hard to stop bleeding.",N/A,N/A,N/A,N/A,N/A,N/A,N/A
Insomnia,https://www.nhlbi.nih.gov/health/insomnia,"Insomnia is a common sleep disorder that causes you to have trouble falling asleep, staying asleep, or getting good quality sleep.",N/A,N/A,N/A,"BROCHURE
Sleep Diary
Print and use this sleep diary to record the quality and quantity of your sleep and daytime habits that may affect your sleep. You can then bring the diary with you to review the information with your doctor.
Download the diary",N/A,N/A,N/A
Interstitial Lung Diseases,https://www.nhlbi.nih.gov/health/interstitial-lung-diseases,Interstitial lung diseases (ILDs) are a group of more than 200 different disorders that cause scarring in the lungs and make it hard to breathe.,"Symptoms of ILDs may be different depending on the type of ILD you have and how serious it is. They can happen quickly or slowly and get worse over time. Some people may not have symptoms at first, but symptoms can develop as your disease worsens.
Symptoms of ILDs include:
Shortness of breath
A dry cough
Abnormal sounds when you breathe
Chest pain and discomfort
Extreme tiredness
Clubbing, a widening and rounding at the ends of your fingers or toes along with a downward sloping of the nails
Symptoms in
children who have ILDs
may be different from symptoms in adults. Adults and children can have the same types of ILD, but there are some types that are unique to each group.",N/A,N/A,"Your healthcare provider will diagnose your ILD based on your
symptoms
, your medical and family histories, your
risk factors
, and the results from tests and procedures. You may need to see a pulmonologist, a doctor who specializes in lung diseases.","Your healthcare provider may order one of these common tests to help diagnose an ILD.
Blood tests
are used to look for signs of an infection or an
autoimmune
disease that can cause an ILD.
Lung tests
include imaging tests like chest X-rays and CT scans that take pictures of your lungs. You may also do lung function tests that measure how much air you breathe out or how much air your lungs can hold. These tests help your doctor see how well your lungs are working.","Sometimes your doctor may order other tests if they need more information to help diagnose an ILD.
Bronchoalveolar lavage (BAL):
During this test, your healthcare provider will collect fluid from your lungs. This fluid will be tested for high levels of white blood cells and other immune cells or for substances in your environment that can cause lung scarring.
Lung
biopsy
:
Your healthcare provider will take a very small sample of your lung tissue. Your healthcare provider will check this sample to see if your lung tissue shows signs of inflammation, scarring, or other changes that happen when you have an ILD.",N/A
Iron-Deficiency Anemia,https://www.nhlbi.nih.gov/health/anemia/iron-deficiency-anemia,Iron-deficiency anemia is a condition in which the body can't make enough healthy red blood cells because it doesn't have enough iron. It is the most common type of anemia.,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LAM,https://www.nhlbi.nih.gov/health/lam,"LAM, or lymphangioleiomyomatosis, is a rare lung disease in which abnormal cells begin to grow out of control in the lungs. Over time, these cells can destroy healthy lung tissue.",N/A,N/A,N/A,Your healthcare provider will diagnose LAM based on your medical history and the results from diagnostic tests and procedures. You may also see a pulmonologist (a healthcare provider specializing in lung diseases and conditions) who has experience providing care to people who have LAM.,"Your healthcare provider will ask you about your medical history to see whether you have
symptoms of LAM
. They may ask how long you have had symptoms and whether your symptoms have become worse over time.","Your provider may order tests to measure how well your lungs are working and determine whether your lungs are delivering enough oxygen to your blood.
Chest CT scan
For an accurate diagnosis, a high-resolution computed tomography (HRCT) scan is essential. It creates detailed pictures of your lungs and the inside of your chest. Computers can combine these pictures to create three-dimensional (3D) models showing the size, shape, and position of your lungs and other structures in your chest. Your healthcare provider may diagnose you with LAM if the chest HRCT shows thin-walled cysts (fluid-filled pockets) in your lungs.
Chest X-ray
A
chest X-ray
is a fast and painless imaging test to look at the structures in and around your chest.
A chest X-ray may look normal in the early stages of LAM. As the disease gets worse, the X-ray may be used to find cysts in your lungs and monitor any changes over time. Your healthcare provider may use a chest X-ray to look for
complications of LAM
, such as fluid in your lungs or air in the chest cavity that collapses your lung (a pneumothorax).
Lung function tests
Lung function tests
can help your healthcare provider determine how well your lungs are working. These tests may help diagnose certain lung conditions or diseases, including LAM.
Blood tests
Your healthcare provider may order blood tests, such as a test for vascular endothelial growth factor D (VEGF-D) that looks for increased VEGF-D levels in your blood. Higher levels of VEGF-D can stimulate the growth of new blood vessels, which can enable the cells that cause LAM cells to spread in the body. About 70% of patients with LAM have raised VEGF-D levels.","If other tests cannot diagnose LAM, your healthcare provider may recommend a lung
biopsy
, but only when an absolutely certain diagnosis is required.
A lung biopsy
removes small pieces of your lung to check for LAM cells. Your provider may do an open lung biopsy, which involves making a cut in your chest wall between your ribs. With a transbronchial biopsy, your provider inserts a long tube down your windpipe and into your lungs. Whenever possible, the transbronchial biopsy is the preferred approach. Your healthcare provider can also diagnose LAM using results from biopsies of other tissues, such as the lymph nodes.
Video-assisted thoracoscopic surgery (VATS)
may be done to remove small pieces of your lung to check for LAM cells, if your provider suspects LAM but is not able to diagnose using a traditional open lung or transbronchial biopsy. In the VATS procedure, your provider makes several small cuts in your chest wall and inserts a small, lighted tube with tools and a camera on the end. The camera takes pictures of the lungs to guide your provider while they do the biopsy."
Long QT Syndrome,https://www.nhlbi.nih.gov/health/long-qt-syndrome,"Long QT syndrome is a problem with the electrical system that controls your heartbeat. It can cause sudden, fast heart rhythms.",N/A,N/A,N/A,N/A,N/A,N/A,N/A
Low Blood Pressure,https://www.nhlbi.nih.gov/health/low-blood-pressure,"Low blood pressure, or hypotension, occurs when blood flows through your blood vessels at lower-than-normal pressures.",N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lung Disease Treatments,https://www.nhlbi.nih.gov/health/lung-treatments,Learn about different treatments for lung diseases and conditions.,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lymphopenia,https://www.nhlbi.nih.gov/health/lymphopenia,"Lymphopenia, or lymphocytopenia, is a disorder in which your blood does not have enough white blood cells called lymphocytes. This can raise your risk of infections.","People who have lymphopenia may have no symptoms at all. If you get colds or pneumonia often or a more unusual infection, your healthcare provider may suspect that you have lymphopenia.
A low lymphocyte count alone may not cause any symptoms. Lymphopenia usually is found during a routine health checkup or when you’re being tested for other diseases or conditions, such as HIV infection.
Lymphopenia can cause one of the signs or symptoms below.
Frequent infections,
such as colds or pneumonia
Unusual infections
caused by
microbes
, fungi, or
parasites
that rarely cause problems for people who have healthy
immune system
Long-lasting infections,
such as tuberculosis
Missing or abnormal tonsils
(small organs in the back of the throat)
Swollen
lymph nodes
Skin conditions and abnormalities,
such as alopecia (sudden hair loss),
eczema
(long-term itchy, red skin),
pyoderma
(bumps on skin that turn into swollen, open sores), pale skin, jaundice (yellowing of the skin and eyes), small bruises, and sores in the mouth
Failure to thrive
A
spleen
that is larger than normal
that your healthcare provider can feel in an exam
Your provider will do a physical exam and ask you about your symptoms to help
diagnose
lymphopenia. You will also likely need a blood test to confirm the diagnosis.",N/A,N/A,"Your healthcare provider will diagnose lymphopenia based on your medical and family health histories, a physical exam, and test results. Newborn screening may lead to early diagnosis of
genetics
diseases that can cause life-threatening lymphopenia.
A low lymphocyte count alone may not cause any
symptoms
. The condition often is found during a routine checkup or when your healthcare provider tests you for other diseases or conditions. In other cases, your provider may order tests to diagnose lymphopenia after noticing that you have unusual infections, repeat infections, or infections that do not heal quickly.","Your provider will do a physical exam to look for signs of infection, such as fever. They may check your stomach for signs of a
spleen
that is larger than normal and your neck or armpits for signs of
lymph nodes
that are larger than normal.
Your provider also will look for symptoms of diseases and conditions that can affect your lymphocyte count, such as HIV and blood cancers.
Your provider may ask:
About your risk for HIV infection such as intravenous (IV) drug use, sexual partners, exposure to infectious blood or bodily fluids at work, or
blood transfusions
Whether you've ever had
cancer
treatments such as radiation, chemotherapy or immunotherapies
Whether you've ever been diagnosed with a blood disease or immune disorder, or whether you have a family history of such illnesses
About your diet and other lifestyle habits","Your healthcare provider may recommend tests to help diagnose a low lymphocyte count. Some of these tests may need to be repeated.
A complete blood count with differential
checks the numbers of lymphocytes, as well as
red blood cells
,
platelet
, and other types of
white blood cells
in your blood.
Flow cytometry
measures the levels of the different types of lymphocytes — T cells, B cells, and natural killer cells. This helps healthcare providers find the underlying cause of lymphopenia.
Immunoglobulin level tests
check the levels of antibodies called immunoglobulins, made by B lymphocytes. The total levels may be low due to low counts of B lymphocytes, or some groups of B cells, although present, may be dysfunctional and not produce normal amounts or some fractions of antibodies.
Other tests
can check for different diseases that cause lymphopenia such as HIV, COVID-19 or other viruses, tuberculosis, or other blood or immune conditions. Your provider may also test your bone marrow or your
lymph nodes
.","Healthy levels of lymphocytes are different for adults and children, and may vary more based on your age or overall health.
Adults:
A normal lymphocyte count usually is between 1,000 and 4,800 lymphocytes per microliter of blood. Your provider may diagnose you with lymphopenia if you have less than 1,500 lymphocytes per microliter of blood for adults.
Children:
A normal lymphocyte count is variable depending on the child’s age. The percentage and absolute lymphocyte counts are higher in very young children. Your child age 6 and younger may have lymphopenia if they have less than 2000 lymphocytes per microliter of blood."
Marfan Syndrome,https://www.nhlbi.nih.gov/health/marfan-syndrome,Marfan syndrome is a genetic condition that affects the connective tissues that support the body’s bones and organs. This condition can cause problems with the heart and blood vessels.,"Symptoms of Marfan syndrome depend on which parts of the body are affected and how severe the condition is. Some people have few or no symptoms, while others experience severe symptoms or
life-threatening complications
.
Some symptoms of Marfan syndrome may be visible to others:
A chest that sinks in or sticks out
A long head with deep-set eyes
A tall, thin body
Flat feet
Flexible joints
Long arms, legs, fingers, and toes
Other symptoms of Marfan syndrome are less obvious on the outside.
Eye problems
include blurred vision or trouble seeing things that are far away, are often the first sign of Marfan syndrome. These can be caused by the lens in one or both eyes moving out of place.
Heart palpitations
are what you feel when the heart is skipping a beat, fluttering, pounding, or beating too hard or too fast.
A heart murmur
is
an unusual sound between heartbeats that only your doctor can hear.
Pain
can occur in different parts of the body, particularly in the lower back.
Scoliosis
is
a condition marked by the curving of the spine to one side.
Stretch marks
not caused by weight gain or loss may appear on the skin. These stretch marks usually appear on the lower back, buttocks, shoulders, breasts, thighs, and stomach area.
Teeth that become too crowded or weak
are more likely to break or have cavities.
FACT SHEET
Your Guide to a Healthy Heart
Learn practical tips for establishing and maintaining a heart-healthy lifestyle.
View the fact sheet",N/A,N/A,"You will be diagnosed with Marfan syndrome based on your medical and family history, a physical exam, and test results.
If you are diagnosed with Marfan syndrome, your parents, siblings, and children should be screened for the disorder, even if they do not have
symptoms
.","To screen for Marfan syndrome, your healthcare provider may do a physical exam, including a check for
certain features
often found in people who have the condition.","Your healthcare provider will ask about symptoms, your medical history, and your family’s medical history. For example, you may be asked whether any of your family members have Marfan syndrome, or have had an
aortic aneurysm
or heart problems.
Your provider will look for signs of Marfan syndrome. For example, they may check the curve of your spine and the shape of your feet.","Your doctor may recommend one or more of the tests below to help diagnose Marfan syndrome.
Lung imaging tests
,
such as a chest CT scan and chest MRI,
create pictures of the organs and blood vessels in your chest. A chest CT scan may also check the connective tissue around your spinal cord.
Echocardiography (echo)
views and measures the size of your aorta and checks the heart’s valves.
Genetic testing
uses blood tests to detect mutations in the
FBN1
genes, even if you have no symptoms. Many different mutations within the
FBN1
gene can cause Marfan syndrome, so no single blood test can diagnose the condition.
A slit-lamp exam
finds out whether you have an eye lens that is out of place, cataracts, or a detached retina. An eye specialist or ophthalmologist uses the slit lamp, a microscope with a light, to check your eyes."
Metabolic Syndrome,https://www.nhlbi.nih.gov/health/metabolic-syndrome,"Metabolic syndrome, or insulin resistance syndrome, is a group of conditions that together raise the risk of heart and blood vessel diseases.","If you have metabolic syndrome, your symptoms will depend on which of the five conditions you have. Some symptoms can be seen, while others are not as obvious. For example, you or your healthcare provider may notice that you have a large waistline. However, high blood pressure, high blood triglycerides, and low HDL cholesterol, or “good” cholesterol, usually do not cause any symptoms.
High blood sugar may cause the following symptoms:
Blurred vision
Increased thirst
Increased urination, especially at night
Tiredness and weakness
Your provider may tell you that you have metabolic syndrome based on tests, such as blood pressure readings and blood tests, that you would get as part of a routine medical visit. Learn more about tests you can expect to help your provider
diagnose metabolic syndrome
.",N/A,N/A,"If you have any
risk factors
for metabolic syndrome, your healthcare provider will do
blood tests
to screen for this condition. They may screen for the conditions that make up metabolic syndrome during a routine checkup. Your provider may also measure your waist size, weight, and blood pressure.
Your provider will diagnose metabolic syndrome based on your medical and family history, a physical exam, and diagnostic tests. They may also order
heart tests
to see how well your heart is working. This will help your provider find out whether you have complications from metabolic syndrome.","To diagnose metabolic syndrome, your provider will ask whether you or others in your family have any
symptoms
or risk factors. They may also ask you about your diet and whether you exercise regularly.
During your physical exam, your provider will measure your waist. You may have abdominal obesity, one of the conditions of metabolic syndrome, if your waist measures more than 40 inches for men and 35 inches for women. Your provider may use different measurement values for diagnosis, depending on your race and ethnicity.","To diagnose metabolic syndrome, your provider will check your blood pressure and do
blood tests
to measure your blood sugar, cholesterol, and triglyceride levels.
Blood pressure
For most adults, a healthy blood pressure is less than 120/80 mm Hg (millimeters of mercury — the units used to measure blood pressure).
You may have
high blood pressure
, one of the conditions of metabolic syndrome, if your blood pressure is consistently 130/85 mmHg or higher.
Blood sugar
A healthy blood sugar level for adults after 8 to 12 hours of fasting (not eating) is between 70 and 99 mg/dL (milligrams per deciliter — the units used to measure blood sugar, triglycerides, and cholesterol).
If your fasting blood sugar level is between 100–125 mg/dL, you have
high blood sugar levels
or
prediabetes
.
If your fasting blood sugar level is 126 mg/dL or higher, you may have
diabetes
, a condition of metabolic syndrome. Also, you may have metabolic syndrome if you are taking medicines to treat high blood sugar or diabetes.
Cholesterol
HDL
cholesterol
, or “good” cholesterol, levels of 60 mg/dL and above can help lower your risk of heart disease.
You may have high blood cholesterol, one of the conditions of metabolic syndrome, if your HDL cholesterol levels are lower than 50 mg/dL for women and lower than 40 mg/dL for men.
Triglyceride levels
Healthy blood triglyceride levels are less than 150 mg/dL for adults.
You may have
high blood triglycerides
, one of the conditions of metabolic syndrome, if your triglyceride levels are consistently more than 150 mg/dL.
Children who have metabolic syndrome can also have these conditions. Your child’s provider will determine the measures and cutoff numbers for your child.
FACT SHEET
Questions to Ask About Your Blood Pressure
Get tips on how to talk to your provider about your blood pressure.
View the fact sheet",N/A
Narcolepsy,https://www.nhlbi.nih.gov/health/narcolepsy,"Narcolepsy is a long-term disorder that causes periods of extreme daytime sleepiness, including sudden brief episodes of deep sleep.",N/A,N/A,N/A,N/A,N/A,N/A,N/A
Newborn Breathing Conditions,https://www.nhlbi.nih.gov/health/newborn-breathing-conditions,Newborn breathing conditions are lung conditions that affect babies shortly after birth and can make it difficult for them to get enough oxygen.,"Symptoms of newborn breathing conditions usually happen at birth or within the first few hours that follow. Common warning signs include:
Irregular breathing or heart rate
(fast or slow)
Grunting
Flaring of the nostrils
with each breath
Bluish tone
to a baby’s skin and lips
Pulling inward of the muscles between the ribs when breathing
Infant distress warning signs.
Watch the video to learn what to signs to look for to help you know if your baby is having breathing problems.
Medical Animation Copyright © 2022 Nucleus Medical Media, All rights reserved
.
If your baby shows signs of distress, your child’s provider will do tests to help
diagnose a newborn breathing condition
.",N/A,N/A,"When a newborn has difficulty breathing, healthcare providers must act quickly to find out what is wrong. Many
types of newborn breathing conditions
can be treated if they are discovered early.
There are many ways for a provider to find out whether a newborn has a breathing condition.
A physical examination
can help find any symptoms of breathing trouble.
Lung imaging tests
, such as chest X-rays, show how well the lungs expand and if the size or function of the heart is affected by the condition. X-rays are used to diagnose most types of newborn breathing conditions.
Skin sensors
check the levels of oxygen and carbon dioxide in the blood.
Heart tests
such as an echocardiogram can check for a possible
congenital heart defect
.
Blood tests
look for an infection.",N/A,N/A,N/A
Obesity Hypoventilation Syndrome,https://www.nhlbi.nih.gov/health/obesity-hypoventilation-syndrome,"Obesity hypoventilation syndrome, also known as Pickwickian syndrome, is a breathing disorder that causes you to have too much carbon dioxide and too little oxygen in your blood. It affects some people who have obesity.",N/A,N/A,N/A,N/A,N/A,N/A,N/A
Overweight and Obesity,https://www.nhlbi.nih.gov/health/overweight-and-obesity,"Overweight and obesity are chronic conditions that raise the risk of serious health problems, including heart disease and diabetes.","Body mass index
Your BMI is a measure of body fat based on your weight and height. It is important to know that body mass index is a screening tool and does not necessarily diagnose body fatness. Other related measures, such as waist circumference, are used to evaluate a person’s health and risk of overweight and obesity.
To calculate your BMI, use NHLBI’s
BMI calculator
.
BMI categories for adults
For adults:
Underweight
is a BMI of less than 18.5
Healthy weight
is a BMI of 18.5 to 24.9
Overweight
is a BMI of 25 to 29.9
Obesity
is a BMI of 30 or above
BMI categories for children
For children, height and weight are shown in percentiles. A child’s BMI percentile is calculated by comparing the child’s BMI to growth charts for children who are the same age and sex.
To learn your child’s percentile, use the Center for Disease Control and Prevention’s
BMI percentile calculator for children and teens
.
Underweight
is a BMI below the 5th percentile.
Healthy weight
is a BMI between the 5th and the 85th percentile.
Overweight
is a BMI between the 85th percentile and the 95th percentile.
Obesity
is a BMI in or above the 95th percentile.
The U.S. Preventive Services Task Force recommends that providers screen for obesity in children beginning at age 6.","To better understand the health risks that overweight and obesity may pose to a specific person providers can measure the person’s distribution of body fat. You may have a normal BMI but if you have a large waist circumference, you may have more fat in your abdomen than elsewhere.
For men, an unhealthy waist circumference is greater than 40 inches.
For women, an unhealthy waist circumference is greater than 35 inches.
Fatty tissue is found in different parts of your body. Fatty tissue produces
hormones
, cushions your joints, and stores energy.
However, depending on where the fatty tissue is found, it may do more harm than good. Fatty tissue found inside your abdomen is called visceral or abdominal fat. We do not know what causes the body to create and store visceral fat. But we do know that this type of fat interferes with your body’s
endocrine
and immune systems. It also promotes
inflammation
and contributes to obesity-related complications, including
heart disease
and diabetes.
Talk to your healthcare provider about your BMI results and body fat distribution and what steps you may need to take to reach a healthy weight.","Sometimes other medical conditions or medicines that you take may lead to overweight and obesity. These conditions or medicines may disrupt the delicate balance of hormones that control how we use and store energy. Your provider may order blood tests to rule out one of these conditions.
Cushing’s syndrome
is a disorder that happens when your body makes too much of the stress hormone cortisol.
Hypothyroidism
is a condition in which your body does not produce enough thyroid hormone. This slows down your body’s use of energy (food), called metabolism.
Polycystic ovary syndrome (PCOS)
is a condition that affects the ovaries and results in hormone imbalance. PCOS can also be ruled out using ultrasound, a test where sound waves are used to create images of organs.
Talk with your provider if you start gaining or losing weight when you take prescribed medicines.",N/A,N/A,N/A,N/A
Pacemakers,https://www.nhlbi.nih.gov/health/pacemakers,A pacemaker is a small device that sends electrical pulses to help the heart beat at a normal rate and rhythm.,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Peripheral Artery Disease,https://www.nhlbi.nih.gov/health/peripheral-artery-disease,"Peripheral artery disease, or PAD, is a condition in which a sticky substance called plaque builds up in the arteries that carry blood away from the heart to other parts of the body.","About 1 in 4 people with PAD experience common symptoms of the condition. More than half have nontypical symptoms, and about 1 in 5 people who have PAD do not report any symptoms. No matter the symptoms, everyone with PAD shares the same high risk of cardiovascular disease. Without
treatment,
PAD may cause sores, infections, and even the loss of a limb.
Symptoms of PAD can vary, but there are a few common ones.
Pain, aching, heaviness, or cramping in your legs
that comes when walking or climbing stairs and goes away after rest is called intermittent claudication. It is the most common PAD symptom. The pain is often in the calf, but you may also feel it in your buttocks, thigh, or foot.
Your toenails and leg hair may stop growing.
One foot may feel colder than the other.
Your foot or leg may become pale, discolored, or blue.
Leg weakness or numbness
may make you feel off-balance or make it harder to walk.
You may have pain or a feeling of pins and needles in your leg or foot.
In severe PAD, pain in your leg and foot when at rest
is called critical limb ischemia.
Sores or wounds on your toes, feet, or legs may appear, may heal slowly, or may not heal at all.
The sores may become infected.",N/A,N/A,"Your healthcare provider will diagnose peripheral artery disease (PAD) based on your medical and family history, a physical exam, and the results from tests and procedures.","To help diagnose PAD, your provider will want to learn about your
symptoms,
risk factors
, personal health history, and family health history. This discussion may include questions about the following:
Other medical conditions,
including diabetes, heart disease, and chronic kidney disease
Pain or cramps
in your legs while walking or exercising
Problems with your legs and feet,
including swelling, redness, trouble with walking, and wounds that are slow to heal
Smoking,
either current or past
Your family history
of PAD, heart disease, and other blood vessel diseases
During an exam to look for signs of PAD, your provider will:
Check for weak pulses
in your legs.
Listen for poor blood flow in your legs.
Your provider will use a stethoscope to listen for an abnormal whooshing sound, called a bruit.
Look for problems on your legs and feet,
including swelling, sores, or pale skin.","Some conditions, such as
arthritis
or vein problems can cause leg pain, but the symptoms are different from those for PAD. A physical exam and your medical history can help your provider rule out these conditions.
However, problems with nerves can cause pain that may be confused with PAD. Sometimes a nerve is squeezed where it exits the spinal column. The result is pain that radiates, or spreads, from the hips or buttocks and down the leg.
To confirm that your pain is the result of PAD, your provider may ask you to stand up or change your position. Those movements often trigger nerve-related pain. In contrast, PAD pain is often brought on by leg exercise and is quickly relieved by rest with no need to change position.","The ankle-brachial index (ABI) test
is usually the first test used to diagnose PAD. The test compares blood pressure in your ankle with the blood pressure in your arm. Your provider uses a blood pressure cuff and
ultrasound
device for this painless test.
A drawing of the ankle-brachial index test.
A healthy ABI result is 1.00 or greater. If you have an ABI of less than 0.90 while resting, you may have PAD. An ABI of less than 0.40 is a sign of severe PAD. If there are problems with the arteries in your ankle, your provider may do a toe-brachial index (TBI) test instead, which measures the blood pressure in your big toe. A TBI less than 0.7 is abnormal.
Be aware of your ABI, just as you know and keep track of your blood pressure numbers.
To diagnose PAD, your provider may also order some of the following tests and procedures:
Blood tests
check your cholesterol, triglyceride, and blood sugar levels.
An exercise ABI test
shows the severity of your leg symptoms and the level of physical activity that produces them. Your provider will do the ABI test after having you walk on a treadmill. This test may help them diagnose PAD when you have symptoms but your resting ABI test result is only slightly low. A drop of 20% or more in a post-exercise ABI is abnormal.
A 6-minute walking test
measures how far you can walk in a hallway in 6 minutes. Your provider may do this test to see how much PAD affects your ability to function and how serious your PAD is.
Doppler ultrasound
locates areas of reduced blood flow or blockages and measures how fast blood is flowing through the arteries. A handheld device is passed over your skin, and a computer converts sound waves into pictures of the blood flow in your arteries. Ultrasound can help diagnose PAD and monitor how well treatments for the condition have worked.
Segmental Doppler pressure testing
checks different parts of your legs for narrowed or blocked arteries. This method is similar to ABI testing but uses blood pressure cuffs placed at thigh, calf, and ankle levels. The ultrasound device amplifies the sounds of blood flow in your arteries, making it easier to measure the blood pressure in these areas of your leg.
Your provider may also order an imaging test using angiography to get a better picture of the blood vessels in your legs and feet. There are several types of angiography:
Computed tomography angiography (CTA)
allows providers to see the arteries in your legs and feet. A special dye is injected, and then X-rays are taken to show the location and extent of any blood vessel blockages.
Magnetic resonance angiography
(MRA)
examines the structure of your leg arteries. MRA tests may not be safe for people who have metal implants in their body.
Catheter-based
angiography
lets providers see inside the arteries of your legs. A doctor inserts a catheter, or tube, into an artery in your groin and guides it to the affected area. A special dye is released through the catheter and then X-rays are taken. Your provider may suggest this procedure for serious pain in the legs or feet or when
treatments for PAD
have not worked or other testing has not been helpful."
Physical Activity and Your Heart,https://www.nhlbi.nih.gov/health/heart/physical-activity,Physical activity is any body movement that works your muscles and requires more energy than resting. Being physically active is one of the best ways to keep your heart and lungs healthy.,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Platelet Disorders,https://www.nhlbi.nih.gov/health/platelet-disorders,"Platelet disorders are conditions in which the number of platelets in your blood is either too low or too high, or your platelets don’t work properly. This can cause problems with bleeding or forming too many blood clots.","If your platelet count is not very high or very low, you may not have any symptoms. People often see their healthcare providers when they start to have bruises for no reason or have heavy bleeding after a small injury.","Symptoms of a high platelet count are mostly caused by a blood clot. Your symptoms may include:
Chest pain and heart palpitations, difficulty breathing
Dizziness, changes in your vision, weakness, numbness, slurred speech, or
transient ischemic attacks
Extreme tiredness
Headaches
Pain and swelling of leg(s)
Spleen or liver that is larger than normal
Bleeding can happen when you have a high platelet count but your platelets do not work normally. It can also happen when blood clots use up all your platelets. You may have nosebleeds, bleeding from your gums, and blood in your urine or stool. Blood in your stool may make your stool appear black.","Symptoms of a low platelet count or platelets that do not work properly include:
Bleeding from your gums, nosebleeds, or bleeding for a long time after a small injury
Blood in your stool, urine, or vomit,
or
black stool or vomit that looks like coffee grounds
Bruising easily
Extreme tiredness
Heavy menstrual periods
Petechiae, which are small, flat red spots under the skin caused by blood leaking from blood vessels
Purpura,
which is bleeding in your skin
that can cause red, purple, or brownish- yellow spots
Spleen or liver
that is larger than normal
Weakness and confusion
Purpura and petechiae in the skin.
The photograph shows the larger red, brown, and purple purpura and the smaller red and purple dots that are petechiae in the skin. Both are caused by bleeding in the skin when your platelet count is very low.","Healthcare providers do not often screen for platelet disorders. If you have a routine blood test called a
complete blood count (CBC)
, your healthcare provider may notice that you have a high or low platelet count. You may have this test during your yearly healthcare provider visit. Your provider may screen for platelet disorders if you have
risk factors
.
Your provider will diagnose a platelet disorder based on your physical exam and results from blood tests. They may order more tests to see whether another medical condition is
causing your platelet disorder
. You may have to see a hematologist, a doctor who specializes in treating blood disorders.","To diagnose a platelet disorder, your provider will ask about your medical and family history and do a physical exam to look for signs of a platelet disorder. They may do the following:
Feel your abdomen
to see whether your spleen or liver is larger than normal.
Look at your eyes, nose, mouth, and skin
for small, flat red spots called petechiae.
Look at your skin
for bruising or purpura, which are red, purple, or brownish yellow spots on your skin.
Look for signs of other medical conditions
that can cause platelet disorders.","Your provider will order one or more blood tests to diagnose your platelet disorder.
Complete blood count (CBC)
This test shows
your platelet count and other blood cells in your blood.
Diagnosing high or low platelet counts
Platelet count,
platelets per microliter
Normal platelet count
150,000 to 400,000
High platelet count
More than 450,000
Low platelet count
Mild
Moderate
Serious
Severe
Less than 150,000
100,000 to 150,000
50,000 to 100,000
Less than 50,000
Less than 20,000
Platelet disorders are grouped based on platelet count, which is the platelet count in a certain amount of blood.
A normal platelet count
is between 150,000 and 400,000 platelets per microliter of blood.
A high platelet count
is more than 450,000 platelets per microliter of blood.
A low platelet count
is less than 150,000 platelets per microliter of blood.
A low platelet count is mild if it is between 100,000 and 150,000 per microliter.
It is severe if it is less than 20,000 per microliter.
Peripheral blood smear
This test shows the number, size, and shape of your platelets and other blood cells. In a peripheral blood smear, a small amount of your blood is examined under a microscope. Results from this test can help your provider find the cause of your platelet disorder.","Your provider may order other tests to find out which platelet disorder you have. These tests can also help find the cause of your condition.
Abdominal
ultrasound
are used to look for changes in your liver, spleen, and the
lymph nodes
in your abdomen.
ADAMTS13 testing
checks the level of a protein called ADAMTS13 in your blood. Levels of this protein are very low in people who have
thrombotic thrombocytopenic purpura
.
Blood clotting tests
check how well your blood is clotting.
Bone marrow tests
can help your provider see whether your bone marrow is healthy and making new blood cells. They will look for a bone marrow disease that may be causing your platelet disorder.
Genetic testing
checks for
mutations
, or changes, in genes that control how your body makes platelets or how well your platelets work."
